ds,mtd,rev,type,ytd
2010-04-20,31948,62,corporate,141457
2010-04-20,238,24,unemployment,2188
2010-04-20,46,1,estate,1953
2010-12-10,145,4,estate,801
2010-12-10,53190,6435,income.withheld,323342
2010-12-10,121,17,income,1168
2010-12-10,125,40,railroad,877
2010-12-10,584,450,excise,11254
2010-12-10,1082,304,corporate,13207
2010-12-10,14,2,unemployment,695
2010-12-10,33,7,estate,123
2015-09-24,1063,78,estate,18615
2015-09-24,138020,1952,income.withheld,2157275
2015-09-24,10875,58,income,102388
2015-09-24,314,0,railroad,6314
2015-09-24,4554,231,excise,79809
2015-09-24,76478,60,corporate,379531
2015-09-24,34,2,unemployment,9229
2015-09-24,31,6,estate,1395
2017-03-08,553,242,estate,8891
2017-03-08,76995,9230,income.withheld,1076316
2017-03-08,981,117,income,27373
2017-03-08,139,4,railroad,2595
2017-03-08,1219,25,excise,31372
2017-03-08,496,142,corporate,102594
2017-03-08,26,5,unemployment,3854
2017-03-08,24,4,estate,412
2015-01-22,1056,45,estate,5680
2015-01-22,143685,8541,income.withheld,686068
2015-01-22,8750,126,income,15274
2015-01-22,335,4,railroad,1772
2015-01-22,3333,40,excise,22239
2015-01-22,9739,113,corporate,113183
2015-01-22,322,23,unemployment,1048
2015-01-22,27,2,estate,707
2010-02-10,397,180,estate,6201
2010-02-10,63609,5917,income.withheld,611319
2010-02-10,123,15,income,3128
2010-02-10,233,3,railroad,1663
2010-02-10,619,419,excise,22005
2010-02-10,639,69,corporate,65879
2010-02-10,733,9,unemployment,1795
2010-02-10,36,9,estate,274
2011-07-06,25,8,estate,6693
2011-07-06,31536,3510,income.withheld,1347804
2011-07-06,70,19,income,27440
2011-07-06,82,8,railroad,3650
2011-07-06,28,9,excise,51121
2011-07-06,618,104,corporate,184458
2011-07-06,15,5,unemployment,6000
2011-07-06,29,18,estate,2083
2012-07-17,642,89,estate,11283
2012-07-17,88836,2034,income.withheld,1436741
2012-07-17,341,29,income,35085
2012-07-17,228,0,railroad,3573
2012-07-17,3109,22,excise,58695
2012-07-17,8149,58,corporate,212915
2012-07-17,69,5,unemployment,6465
2012-07-17,21,0,estate,471
2013-02-01,80,80,estate,4539
2013-02-01,21296,21297,income.withheld,671901
2013-02-01,37,37,income,7759
2013-02-01,66,66,railroad,1662
2013-02-01,16,16,excise,25294
2013-02-01,993,993,corporate,84208
2013-02-01,60,60,unemployment,3616
2013-02-01,2,2,estate,135
2014-03-19,765,41,estate,8536
2014-03-19,146758,8904,income.withheld,1019741
2014-03-19,1279,91,income,12675
2014-03-19,329,3,railroad,2681
2014-03-19,3092,11,excise,34122
2014-03-19,34144,1020,corporate,131095
2014-03-19,53,4,unemployment,4470
2014-03-19,22,3,estate,301
2018-02-05,170,11,estate,7818
2018-02-05,47081,14625,income.withheld,900979
2018-02-05,557,160,income,31090
2018-02-05,134,42,railroad,2084
2018-02-05,42,16,excise,27624
2018-02-05,317,214,corporate,91105
2018-02-05,82,16,unemployment,4117
2018-02-05,30,6,estate,337
2017-04-25,2130,276,estate,12550
2017-04-25,169686,1842,income.withheld,1403864
2017-04-25,63604,207,income,94611
2017-04-25,401,39,railroad,3413
2017-04-25,4098,295,excise,41754
2017-04-25,54630,50,corporate,175153
2017-04-25,349,41,unemployment,4281
2017-04-25,1709,2,estate,2184
2015-02-23,816,35,estate,6893
2015-02-23,161961,17004,income.withheld,893879
2015-02-23,1116,99,income,16690
2015-02-23,610,84,railroad,2559
2015-02-23,3540,25,excise,28924
2015-02-23,4208,43,corporate,117927
2015-02-23,2859,4,unemployment,4753
2015-02-23,50,1,estate,768
2011-04-07,108,11,estate,1688
2011-04-07,43498,1981,income.withheld,943455
2011-04-07,646,91,income,6380
2011-04-07,69,2,railroad,2517
2011-04-07,68,15,excise,33024
2011-04-07,371,48,corporate,96450
2011-04-07,58,11,unemployment,2227
2011-04-07,29,5,estate,337
2010-01-11,321,50,estate,4646
2010-01-11,59433,10856,income.withheld,466762
2010-01-11,172,51,income,1477
2010-01-11,120,41,railroad,1202
2010-01-11,218,72,excise,16155
2010-01-11,234,50,corporate,57401
2010-01-11,36,7,unemployment,704
2010-01-11,16,2,estate,210
2010-09-17,742,67,estate,17601
2010-09-17,84889,5873,income.withheld,1614359
2010-09-17,2019,55,income,18201
2010-09-17,210,8,railroad,4497
2010-09-17,3846,17,excise,66750
2010-09-17,52088,98,corporate,271541
2010-09-17,29,2,unemployment,6717
2010-09-17,43,2,estate,2223
2015-12-23,1339,202,estate,5135
2015-12-23,163310,11092,income.withheld,509285
2015-12-23,2123,122,income,7790
2015-12-23,300,4,railroad,1213
2015-12-23,3578,140,excise,16204
2015-12-23,77698,1024,corporate,93800
2015-12-23,83,4,unemployment,759
2015-12-23,34,1,estate,251
2012-04-16,682,108,estate,6894
2012-04-16,83246,11772,income.withheld,1000559
2012-04-16,7884,3234,income,15879
2012-04-16,191,41,railroad,2457
2012-04-16,3202,31,excise,38230
2012-04-16,19764,12122,corporate,126646
2012-04-16,164,31,unemployment,3415
2012-04-16,59,3,estate,372
2013-09-06,165,74,estate,18440
2013-09-06,44390,5026,income.withheld,1841888
2013-09-06,234,57,income,51836
2013-09-06,87,17,railroad,4995
2013-09-06,202,23,excise,72355
2013-09-06,575,191,corporate,248714
2013-09-06,8,2,unemployment,8320
2013-09-06,7,0,estate,741
2018-01-04,518,127,estate,5943
2018-01-04,65865,11473,income.withheld,682359
2018-01-04,1251,190,income,14290
2018-01-04,44,1,railroad,1391
2018-01-04,76,9,excise,21247
2018-01-04,494,65,corporate,79708
2018-01-04,34,13,unemployment,803
2018-01-04,18,5,estate,209
2017-07-24,945,15,estate,17481
2017-07-24,154515,14440,income.withheld,1972391
2017-07-24,1823,123,income,113611
2017-07-24,380,33,railroad,4853
2017-07-24,3938,55,excise,62347
2017-07-24,9839,106,corporate,256309
2017-07-24,118,13,unemployment,7594
2017-07-24,30,0,estate,2424
2014-07-08,308,108,estate,14576
2014-07-08,51567,2247,income.withheld,1629018
2014-07-08,340,56,income,62053
2014-07-08,128,1,railroad,4459
2014-07-08,130,33,excise,58042
2014-07-08,504,47,corporate,254783
2014-07-08,24,4,unemployment,7852
2014-07-08,11,1,estate,468
2012-03-06,186,57,estate,5413
2012-03-06,41816,2475,income.withheld,792778
2012-03-06,310,51,income,6919
2012-03-06,84,7,railroad,1991
2012-03-06,60,8,excise,29072
2012-03-06,295,68,corporate,78395
2012-03-06,16,4,unemployment,3174
2012-03-06,5,2,estate,180
2013-06-10,260,19,estate,14441
2013-06-10,58957,12760,income.withheld,1385852
2013-06-10,420,145,income,45532
2013-06-10,158,82,railroad,3753
2013-06-10,252,160,excise,51337
2013-06-10,831,235,corporate,171611
2013-06-10,19,4,unemployment,7153
2013-06-10,9,1,estate,504
2010-06-01,35,35,estate,12790
2010-06-01,20524,20524,income.withheld,1138856
2010-06-01,26,26,income,13722
2010-06-01,61,61,railroad,3119
2010-06-01,21,21,excise,43927
2010-06-01,127,127,corporate,149722
2010-06-01,5,5,unemployment,5598
2010-06-01,1,1,estate,2011
2011-03-17,113,3,estate,1487
2011-03-17,107931,2178,income.withheld,845806
2011-03-17,612,29,income,5216
2011-03-17,226,2,railroad,2273
2011-03-17,3885,8,excise,29998
2011-03-17,22758,104,corporate,95365
2011-03-17,48,2,unemployment,2126
2011-03-17,36,7,estate,293
2017-07-19,721,37,estate,17257
2017-07-19,131364,9621,income.withheld,1949240
2017-07-19,1487,95,income,113275
2017-07-19,322,3,railroad,4796
2017-07-19,3774,40,excise,62183
2017-07-19,9627,69,corporate,256098
2017-07-19,85,11,unemployment,7562
2017-07-19,27,1,estate,2421
2014-04-09,480,77,estate,9393
2014-04-09,58446,7326,income.withheld,1135405
2014-04-09,2633,587,income,16248
2014-04-09,97,3,railroad,2980
2014-04-09,236,62,excise,37313
2014-04-09,669,144,corporate,132452
2014-04-09,77,13,unemployment,4586
2014-04-09,41,3,estate,349
2016-06-23,1085,58,estate,16021
2016-06-23,145190,2540,income.withheld,1690914
2016-06-23,10749,89,income,101847
2016-06-23,327,1,railroad,4334
2016-06-23,3575,24,excise,55992
2016-06-23,62417,44,corporate,255754
2016-06-23,82,2,unemployment,7675
2016-06-23,330,2,estate,1050
2012-08-01,28,28,estate,11712
2012-08-01,16675,16675,income.withheld,1508596
2012-08-01,31,31,income,35374
2012-08-01,9,9,railroad,3772
2012-08-01,33,34,excise,62578
2012-08-01,130,130,corporate,213612
2012-08-01,16,16,unemployment,7168
2012-08-01,2,2,estate,489
2011-08-10,72,6,estate,6925
2011-08-10,58664,5909,income.withheld,1507149
2011-08-10,142,18,income,27959
2011-08-10,160,39,railroad,4107
2011-08-10,759,466,excise,57954
2011-08-10,439,44,corporate,192352
2011-08-10,618,3,unemployment,7005
2011-08-10,112,13,estate,2206
2017-04-18,978,118,estate,11399
2017-04-18,131536,18320,income.withheld,1365714
2017-04-18,46645,23718,income,77652
2017-04-18,292,1,railroad,3304
2017-04-18,3640,26,excise,41295
2017-04-18,53477,20901,corporate,174000
2017-04-18,186,16,unemployment,4119
2017-04-18,1686,25,estate,2161
2014-03-24,892,37,estate,8663
2014-03-24,168840,13302,income.withheld,1041823
2014-03-24,1576,116,income,12972
2014-03-24,383,33,railroad,2735
2014-03-24,3203,47,excise,34233
2014-03-24,34358,79,corporate,131309
2014-03-24,64,5,unemployment,4481
2014-03-24,22,-4,estate,300
2016-09-08,317,107,estate,20033
2016-09-08,53598,9216,income.withheld,2150347
2016-09-08,923,239,income,107352
2016-09-08,76,1,railroad,5564
2016-09-08,204,47,excise,74210
2016-09-08,1458,250,corporate,270856
2016-09-08,10,2,unemployment,8610
2016-09-08,15,2,estate,1260
2015-10-02,72,25,estate,72
2015-10-02,26473,10358,income.withheld,26473
2015-10-02,214,96,income,214
2015-10-02,60,21,railroad,60
2015-10-02,68,34,excise,68
2015-10-02,183,118,corporate,183
2015-10-02,7,4,unemployment,7
2015-10-02,14,12,estate,14
2010-03-30,1211,40,estate,8133
2010-03-30,159198,1716,income.withheld,846497
2010-03-30,817,61,income,4186
2010-03-30,405,14,railroad,2292
2010-03-30,6448,18,excise,31993
2010-03-30,29811,128,corporate,109403
2010-03-30,92,5,unemployment,1937
2010-03-30,1594,1,estate,1907
2017-12-28,1542,169,estate,5170
2017-12-28,213950,11617,income.withheld,600049
2017-12-28,4529,490,income,12399
2017-12-28,395,4,railroad,1286
2017-12-28,4785,904,excise,19177
2017-12-28,64241,177,corporate,78043
2017-12-28,76,6,unemployment,751
2017-12-28,49,5,estate,191
2014-05-14,889,64,estate,11927
2014-05-14,79513,6714,income.withheld,1324061
2014-05-14,602,105,income,53847
2014-05-14,233,5,railroad,3588
2014-05-14,3310,2119,excise,47616
2014-05-14,1428,832,corporate,175946
2014-05-14,94,5,unemployment,7698
2014-05-14,18,1,estate,406
2017-02-28,1078,98,estate,8338
2017-02-28,203802,4944,income.withheld,999321
2017-02-28,2324,246,income,26392
2017-02-28,628,21,railroad,2455
2017-02-28,5282,960,excise,30153
2017-02-28,4215,58,corporate,102098
2017-02-28,218,4,unemployment,3828
2017-02-28,99,3,estate,388
2015-08-04,102,31,estate,16395
2015-08-04,33695,4155,income.withheld,1876753
2015-08-04,151,54,income,90097
2015-08-04,65,10,railroad,5526
2015-08-04,126,90,excise,67848
2015-08-04,63,20,corporate,298508
2015-08-04,14,3,unemployment,9155
2015-08-04,14,11,estate,1328
2017-05-05,474,142,estate,13483
2017-05-05,57552,8021,income.withheld,1482239
2017-05-05,716,104,income,95897
2017-05-05,103,14,railroad,3569
2017-05-05,276,26,excise,44823
2017-05-05,297,35,corporate,176084
2017-05-05,2498,6,unemployment,7354
2017-05-05,17,1,estate,2259
2016-08-15,884,38,estate,18917
2016-08-15,105243,17857,income.withheld,2009084
2016-08-15,921,194,income,105293
2016-08-15,283,52,railroad,5228
2016-08-15,3659,97,excise,70244
2016-08-15,2878,1861,corporate,267957
2016-08-15,554,4,unemployment,8578
2016-08-15,19,1,estate,1142
2016-10-13,573,98,estate,573
2016-10-13,80178,6795,income.withheld,80178
2016-10-13,1274,189,income,1274
2016-10-13,199,4,railroad,199
2016-10-13,758,196,excise,758
2016-10-13,2264,323,corporate,2264
2016-10-13,43,4,unemployment,43
2016-10-13,249,2,estate,249
2013-03-21,681,26,estate,6258
2013-03-21,145178,2341,income.withheld,959741
2013-03-21,1026,51,income,9490
2013-03-21,329,8,railroad,2494
2013-03-21,4289,9,excise,34523
2013-03-21,30050,57,corporate,118530
2013-03-21,69,3,unemployment,3943
2013-03-21,38,1,estate,239
2017-11-29,1953,62,estate,3596
2017-11-29,186196,7898,income.withheld,381426
2017-11-29,2215,88,income,7780
2017-11-29,382,5,railroad,877
2017-11-29,6994,2115,excise,14366
2017-11-29,3421,64,corporate,13744
2017-11-29,46,2,unemployment,673
2017-11-29,40,1,estate,141
2011-05-27,241,5,estate,6511
2011-05-27,127224,6304,income.withheld,1165599
2011-05-27,582,36,income,24510
2011-05-27,357,12,railroad,3163
2011-05-27,5583,2006,excise,44755
2011-05-27,7483,128,corporate,134025
2011-05-27,2557,2,unemployment,5926
2011-05-27,56,-25,estate,1987
2015-03-03,135,102,estate,7239
2015-03-03,41651,3630,income.withheld,960321
2015-03-03,617,273,income,17683
2015-03-03,122,13,railroad,2777
2015-03-03,52,17,excise,31953
2015-03-03,281,111,corporate,118462
2015-03-03,12,7,unemployment,4781
2015-03-03,3,2,estate,776
2013-08-26,1165,17,estate,18053
2013-08-26,136001,11461,income.withheld,1778897
2013-08-26,606,43,income,51438
2013-08-26,360,40,railroad,4872
2013-08-26,4004,89,excise,68983
2013-08-26,3954,18,corporate,247241
2013-08-26,84,1,unemployment,8306
2013-08-26,67,2,estate,728
2011-08-12,88,9,estate,6941
2011-08-12,65289,4288,income.withheld,1513774
2011-08-12,170,16,income,27987
2011-08-12,181,11,railroad,4128
2011-08-12,2836,1932,excise,60031
2011-08-12,823,333,corporate,192736
2011-08-12,622,2,unemployment,7009
2011-08-12,26,-20,estate,2120
2011-10-14,440,24,estate,440
2011-10-14,65653,6839,income.withheld,65653
2011-10-14,304,55,income,304
2011-10-14,171,12,railroad,171
2011-10-14,1119,761,excise,1119
2011-10-14,2724,1480,corporate,2724
2011-10-14,39,9,unemployment,39
2011-10-14,5,1,estate,5
2014-03-26,1004,45,estate,8774
2014-03-26,177976,7314,income.withheld,1050959
2014-03-26,1818,120,income,13214
2014-03-26,438,14,railroad,2791
2014-03-26,3717,390,excise,34746
2014-03-26,34449,31,corporate,131399
2014-03-26,72,5,unemployment,4489
2014-03-26,26,3,estate,305
2015-06-30,1231,22,estate,14853
2015-06-30,180040,4314,income.withheld,1663724
2015-06-30,10296,94,income,88191
2015-06-30,560,19,railroad,4893
2015-06-30,6849,54,excise,59843
2015-06-30,74922,177,corporate,286666
2015-06-30,64,4,unemployment,8273
2015-06-30,93,1,estate,1273
2012-10-05,259,29,estate,259
2012-10-05,42539,5460,income.withheld,42539
2012-10-05,175,35,income,175
2012-10-05,85,12,railroad,85
2012-10-05,1578,11,excise,1578
2012-10-05,210,37,corporate,210
2012-10-05,15,3,unemployment,15
2012-10-05,8,1,estate,8
2016-06-21,944,31,estate,15880
2016-06-21,132942,2007,income.withheld,1678666
2016-06-21,10565,121,income,101663
2016-06-21,321,9,railroad,4329
2016-06-21,3527,12,excise,55944
2016-06-21,62320,66,corporate,255658
2016-06-21,77,2,unemployment,7670
2016-06-21,326,0,estate,1047
2013-05-13,696,20,estate,13350
2013-05-13,75152,12401,income.withheld,1239884
2013-05-13,378,45,income,44462
2013-05-13,214,53,railroad,3324
2013-05-13,1044,235,excise,45404
2013-05-13,718,201,corporate,163281
2013-05-13,97,6,unemployment,7081
2013-05-13,22,2,estate,447
2012-08-03,313,255,estate,11998
2012-08-03,30550,8640,income.withheld,1522471
2012-08-03,72,19,income,35414
2012-08-03,28,11,railroad,3791
2012-08-03,75,20,excise,62620
2012-08-03,188,38,corporate,213669
2012-08-03,22,3,unemployment,7173
2012-08-03,4,2,estate,491
2011-03-15,102,5,estate,1476
2011-03-15,89060,6869,income.withheld,826936
2011-03-15,550,108,income,5154
2011-03-15,195,3,railroad,2242
2011-03-15,3869,38,excise,29981
2011-03-15,22048,15500,corporate,94655
2011-03-15,42,5,unemployment,2119
2011-03-15,22,1,estate,279
2010-06-03,162,76,estate,12918
2010-06-03,34186,6913,income.withheld,1152518
2010-06-03,56,14,income,13752
2010-06-03,74,4,railroad,3132
2010-06-03,39,7,excise,43945
2010-06-03,283,98,corporate,149878
2010-06-03,13,6,unemployment,5606
2010-06-03,5,2,estate,2015
2014-10-27,1113,26,estate,1113
2014-10-27,149777,13329,income.withheld,149777
2014-10-27,2945,127,income,2945
2014-10-27,419,51,railroad,419
2014-10-27,2083,459,excise,2083
2014-10-27,11183,58,corporate,11183
2014-10-27,110,11,unemployment,110
2014-10-27,33,2,estate,33
2014-08-21,791,76,estate,16467
2014-08-21,123390,2407,income.withheld,1865743
2014-08-21,824,42,income,63795
2014-08-21,319,8,railroad,5172
2014-08-21,3927,35,excise,69560
2014-08-21,4220,22,corporate,269096
2014-08-21,49,1,unemployment,8702
2014-08-21,37,1,estate,529
2017-08-30,1454,26,estate,19447
2017-08-30,185830,8038,income.withheld,2198511
2017-08-30,2330,98,income,116461
2017-08-30,436,3,railroad,5454
2017-08-30,7088,97,excise,73286
2017-08-30,3087,112,corporate,259835
2017-08-30,98,2,unemployment,8428
2017-08-30,353,1,estate,2837
2016-05-20,1162,112,estate,14610
2016-05-20,135052,7635,income.withheld,1494853
2016-05-20,1961,90,income,90560
2016-05-20,320,14,railroad,3806
2016-05-20,3570,32,excise,49272
2016-05-20,6641,43,corporate,193000
2016-05-20,2377,3,unemployment,7571
2016-05-20,81,1,estate,705
2010-09-28,1075,83,estate,17934
2010-09-28,121915,1307,income.withheld,1651386
2010-09-28,2169,31,income,18351
2010-09-28,339,2,railroad,4626
2010-09-28,4844,412,excise,67748
2010-09-28,53097,149,corporate,272550
2010-09-28,42,2,unemployment,6730
2010-09-28,74,22,estate,2254
2013-06-12,362,72,estate,14543
2013-06-12,67795,6456,income.withheld,1394690
2013-06-12,665,165,income,45777
2013-06-12,175,4,railroad,3769
2013-06-12,748,470,excise,51833
2013-06-12,2011,853,corporate,172791
2013-06-12,24,3,unemployment,7158
2013-06-12,13,2,estate,507
2011-12-08,127,38,estate,2214
2011-12-08,41437,2716,income.withheld,313094
2011-12-08,114,13,income,1575
2011-12-08,74,1,railroad,802
2011-12-08,254,30,excise,11515
2011-12-08,419,101,corporate,14509
2011-12-08,7,1,unemployment,580
2011-12-08,39,7,estate,78
2016-03-10,467,54,estate,9241
2016-03-10,77562,2856,income.withheld,1038337
2016-03-10,1169,111,income,24726
2016-03-10,165,41,railroad,2641
2016-03-10,707,560,excise,32753
2016-03-10,1949,909,corporate,110410
2016-03-10,32,3,unemployment,4174
2016-03-10,23,1,estate,457
2017-06-06,297,81,estate,15225
2017-06-06,51355,2475,income.withheld,1673592
2017-06-06,743,201,income,98760
2017-06-06,85,8,railroad,4089
2017-06-06,62,16,excise,51335
2017-06-06,355,68,corporate,187149
2017-06-06,11,2,unemployment,7428
2017-06-06,13,2,estate,2357
2013-10-22,1045,108,estate,1045
2013-10-22,115505,1701,income.withheld,115505
2013-10-22,1795,39,income,1795
2013-10-22,275,2,railroad,275
2013-10-22,1602,36,excise,1602
2013-10-22,9868,53,corporate,9868
2013-10-22,71,5,unemployment,71
2013-10-22,45,2,estate,45
2011-02-08,42,6,estate,1220
2011-02-08,48213,2335,income.withheld,641197
2011-02-08,111,21,income,4234
2011-02-08,161,6,railroad,1721
2011-02-08,87,17,excise,21832
2011-02-08,286,17,corporate,69101
2011-02-08,181,36,unemployment,2006
2011-02-08,17,7,estate,204
2011-05-25,233,13,estate,6502
2011-05-25,118216,5645,income.withheld,1156591
2011-05-25,523,21,income,24451
2011-05-25,336,33,railroad,3142
2011-05-25,3407,480,excise,42580
2011-05-25,7299,280,corporate,133841
2011-05-25,2553,3,unemployment,5921
2011-05-25,69,11,estate,2000
2014-06-17,754,39,estate,13649
2014-06-17,108242,3078,income.withheld,1515037
2014-06-17,6395,379,income,61014
2014-06-17,315,1,railroad,4149
2014-06-17,3530,26,excise,54689
2014-06-17,67944,1102,corporate,251471
2014-06-17,42,3,unemployment,7800
2014-06-17,16,1,estate,443
2012-12-19,805,70,estate,3016
2012-12-19,111513,9195,income.withheld,404321
2012-12-19,652,29,income,2612
2012-12-19,238,3,railroad,979
2012-12-19,3176,29,excise,16217
2012-12-19,57331,207,corporate,70637
2012-12-19,31,2,unemployment,616
2012-12-19,15,1,estate,76
2011-11-09,323,41,estate,1326
2011-11-09,46479,5915,income.withheld,184050
2011-11-09,126,10,income,1164
2011-11-09,60,2,railroad,453
2011-11-09,232,67,excise,4843
2011-11-09,299,32,corporate,10280
2011-11-09,27,2,unemployment,551
2011-11-09,11,6,estate,25
2016-08-17,1029,77,estate,19061
2016-08-17,123534,7802,income.withheld,2027375
2016-08-17,1098,83,income,105470
2016-08-17,326,3,railroad,5271
2016-08-17,3721,32,excise,70306
2016-08-17,3012,39,corporate,268091
2016-08-17,558,2,unemployment,8582
2016-08-17,24,4,estate,1147
2016-10-11,417,51,estate,417
2016-10-11,70170,15815,income.withheld,70170
2016-10-11,826,182,income,826
2016-10-11,192,36,railroad,192
2016-10-11,515,59,excise,515
2016-10-11,573,164,corporate,573
2016-10-11,33,13,unemployment,33
2016-10-11,239,-4,estate,239
2012-01-18,505,48,estate,3585
2012-01-18,102578,4299,income.withheld,536509
2012-01-18,3218,156,income,5650
2012-01-18,222,3,railroad,1287
2012-01-18,2681,16,excise,19902
2012-01-18,7105,100,corporate,73318
2012-01-18,164,27,unemployment,788
2012-01-18,29,1,estate,129
2011-06-24,112,3,estate,6640
2011-06-24,114341,6144,income.withheld,1292843
2011-06-24,2725,18,income,27270
2011-06-24,283,43,railroad,3515
2011-06-24,3480,151,excise,48274
2011-06-24,49425,131,corporate,183641
2011-06-24,44,3,unemployment,5974
2011-06-24,90,13,estate,2065
2014-05-16,999,47,estate,12037
2014-05-16,98903,13429,income.withheld,1343451
2014-05-16,830,72,income,54075
2014-05-16,287,50,railroad,3642
2014-05-16,3568,123,excise,47875
2014-05-16,7984,222,corporate,182503
2014-05-16,114,15,unemployment,7718
2014-05-16,23,2,estate,410
2015-08-06,164,33,estate,16457
2015-08-06,45953,2410,income.withheld,1889012
2015-08-06,260,49,income,90206
2015-08-06,77,9,railroad,5537
2015-08-06,205,37,excise,67928
2015-08-06,122,20,corporate,298567
2015-08-06,20,2,unemployment,9160
2015-08-06,20,1,estate,1334
2014-02-06,158,1,estate,6782
2014-02-06,48174,2624,income.withheld,744057
2014-02-06,151,18,income,10466
2014-02-06,119,8,railroad,1840
2014-02-06,89,13,excise,24828
2014-02-06,276,28,corporate,88738
2014-02-06,206,17,unemployment,4309
2014-02-06,13,1,estate,237
2015-07-10,503,81,estate,15356
2015-07-10,68478,5901,income.withheld,1732202
2015-07-10,586,60,income,88777
2015-07-10,199,68,railroad,5092
2015-07-10,866,642,excise,60709
2015-07-10,934,176,corporate,287601
2015-07-10,39,8,unemployment,8312
2015-07-10,20,2,estate,1293
2010-04-22,2170,209,estate,10379
2010-04-22,107501,2324,income.withheld,959676
2010-04-22,8815,29,income,13047
2010-04-22,288,37,railroad,2606
2010-04-22,3244,19,excise,35246
2010-04-22,32065,63,corporate,141574
2010-04-22,289,24,unemployment,2239
2010-04-22,49,2,estate,1956
2012-01-25,723,36,estate,3803
2012-01-25,135122,6759,income.withheld,569053
2012-01-25,3375,25,income,5807
2012-01-25,309,36,railroad,1373
2012-01-25,3202,404,excise,20423
2012-01-25,7782,230,corporate,73995
2012-01-25,291,30,unemployment,915
2012-01-25,43,1,estate,143
2016-07-01,67,67,estate,16433
2016-07-01,21578,21578,income.withheld,1747917
2016-07-01,125,125,income,102559
2016-07-01,71,71,railroad,4532
2016-07-01,18,18,excise,59099
2016-07-01,96,96,corporate,256185
2016-07-01,4,4,unemployment,7694
2016-07-01,3,3,estate,1068
2017-02-17,649,19,estate,7909
2017-02-17,134403,8002,income.withheld,929922
2017-02-17,1398,91,income,25466
2017-02-17,408,31,railroad,2235
2017-02-17,3358,20,excise,28230
2017-02-17,3777,129,corporate,101661
2017-02-17,191,3,unemployment,3801
2017-02-17,63,1,estate,352
2012-05-09,263,25,estate,8998
2012-05-09,49967,6357,income.withheld,1115839
2012-05-09,215,24,income,30529
2012-05-09,72,2,railroad,2692
2012-05-09,250,73,excise,42487
2012-05-09,209,30,corporate,139496
2012-05-09,93,6,unemployment,6277
2012-05-09,8,2,estate,395
2014-11-07,302,78,estate,1830
2014-11-07,49447,6730,income.withheld,218014
2014-11-07,336,101,income,3467
2014-11-07,65,12,railroad,550
2014-11-07,135,44,excise,5647
2014-11-07,484,37,corporate,11845
2014-11-07,22,2,unemployment,626
2014-11-07,154,41,estate,191
2013-08-19,997,37,estate,17885
2013-08-19,107012,12335,income.withheld,1749908
2013-08-19,427,43,income,51259
2013-08-19,254,25,railroad,4766
2013-08-19,3676,43,excise,68656
2013-08-19,3659,34,corporate,246946
2013-08-19,47,2,unemployment,8269
2013-08-19,48,1,estate,709
2010-07-23,1049,130,estate,15154
2010-07-23,104424,6542,income.withheld,1367192
2010-07-23,266,11,income,15763
2010-07-23,316,8,railroad,3787
2010-07-23,3294,99,excise,53671
2010-07-23,9572,132,corporate,214612
2010-07-23,119,13,unemployment,5776
2010-07-23,30,3,estate,2097
2017-11-16,963,105,estate,2605
2017-11-16,114255,11416,income.withheld,309484
2017-11-16,1266,83,income,6832
2017-11-16,227,39,railroad,722
2017-11-16,3599,17,excise,10971
2017-11-16,3084,126,corporate,13408
2017-11-16,35,1,unemployment,662
2017-11-16,28,1,estate,129
2011-05-18,177,15,estate,6447
2011-05-18,95553,6909,income.withheld,1133928
2011-05-18,428,20,income,24357
2011-05-18,256,2,railroad,3063
2011-05-18,2830,10,excise,42003
2011-05-18,4998,28,corporate,131540
2011-05-18,2539,4,unemployment,5908
2011-05-18,35,1,estate,1966
2012-02-24,765,70,estate,4718
2012-02-24,133150,5279,income.withheld,725826
2012-02-24,515,28,income,6437
2012-02-24,349,45,railroad,1811
2012-02-24,3346,130,excise,26251
2012-02-24,3788,34,corporate,77998
2012-02-24,271,3,unemployment,3144
2012-02-24,25,1,estate,173
2012-12-24,946,15,estate,3157
2012-12-24,143650,17762,income.withheld,436457
2012-12-24,790,48,income,2749
2012-12-24,317,66,railroad,1058
2012-12-24,3382,129,excise,16423
2012-12-24,57847,58,corporate,71153
2012-12-24,37,2,unemployment,622
2012-12-24,19,2,estate,79
2013-01-02,166,166,estate,3460
2013-01-02,25217,25217,income.withheld,503778
2013-01-02,84,84,income,3169
2013-01-02,3,3,railroad,1131
2013-01-02,8,8,excise,19153
2013-01-02,180,180,corporate,73733
2013-01-02,7,7,unemployment,651
2013-01-02,1,1,estate,85
2011-03-28,168,10,estate,1542
2011-03-28,151247,10939,income.withheld,889122
2011-03-28,943,58,income,5547
2011-03-28,359,38,railroad,2405
2011-03-28,4771,261,excise,30883
2011-03-28,23281,37,corporate,95888
2011-03-28,70,5,unemployment,2148
2011-03-28,47,1,estate,304
2016-12-30,2017,308,estate,4880
2016-12-30,216023,15465,income.withheld,577614
2016-12-30,3899,398,income,10694
2016-12-30,406,22,railroad,1272
2016-12-30,6369,80,excise,18712
2016-12-30,73640,530,corporate,87213
2016-12-30,82,15,unemployment,774
2016-12-30,96,1,estate,198
2017-07-26,1086,46,estate,17622
2017-07-26,165186,8872,income.withheld,1983063
2017-07-26,1996,78,income,113784
2017-07-26,433,15,railroad,4906
2017-07-26,4574,455,excise,62983
